Data ,Label
"हल्का वजन, र मूल्य बिन्दुको लागि, निश्चित रूपमा खरीदको लायक",1
"हल्का वजन",2
"निश्चित रूपमा खरीदको लायक",1

"म आफैं छनौटमा खुशी छु",1
"छनौटमा खुशी छु",1
"आफैं छनौटमा",2

"पुस्तक पढ्नको लागी यो ट्याब्लेट ठीक छ ",1
"यो ट्याब्लेट ठीक छ",1

"म पुस्तकहरू आदेश र पाठकसँग पढ्न मन पराउँछु",1
"पाठकसँग पढ्न मन पराउँछु",1

"उत्कृष्ट उत्पादन, पर्‍योग गर्न सजिलो छ, ठूला स्क्रिन चलचित्रहरू हेर्न र  पढ्न सजिलो छ",1
"उत्कृष्ट उत्पादन",1
"पर्‍योग गर्न सजिलो छ",1
"चलचित्रहरू हेर्न र  पढ्न सजिलो छ",1
"ठूला स्क्रिन",2

मेरो बुबाले आफ्नो पहिलो ट्याब्लेट किन्न  चाहानु भयो र यो धेरै राम्रो मूल्य हो यसमा  चलचित्रहरू हेर्न र खेल खेल्न सक्छन् यसको प्रयोग गर्न सजिलो छ,1
"मेरो बुबाले आफ्नो पहिलो ट्याब्लेट किन्न  चाहानु भयो",2
"चलचित्रहरू हेर्न र खेल खेल्न",2
"खेल खेल्न सक्छन् यसको प्रयोग गर्न सजिलो छ",1
"यसको प्रयोग गर्न सजिलो छ",1

"स्क्रिनको आकार मनपर्छ",1
"आकार मनपर्छ"

"ज्येष्ठ नागरिकका ज्ञान, सीप तथा अनुभव प्राप्त गरेर नयाँ पुस्तामा हस्तान्तरण गर्दै जानु जरुरी छ",1
"सीप तथा अनुभव प्राप्त गरेर नयाँ पुस्तामा हस्तान्तरण गर्दै जानु जरुरी छ",1
" पुस्तामा हस्तान्तरण गर्दै जानु",2

"Mero bichar ma yo aakdam ramro xa",1
"Mero bichar ma",2
"yo aakdam ramro xa",1

"हजुरहरुले डेलिवर गर्नु भएको समान निकै नै चित्त भुज्ने छ",1
"हजुरहरुले डेलिवर गर्नु भएको समान",2
"निकै नै चित्त भुज्ने छ",1

"यहाँ बाट किनेको सामान ऎक्दमै राम्रो बलियो र टिकाउ छन्",1
"ऎक्दमै राम्रो बलियो र टिकाउ छन्",1
"बलियो",1
"टिकाउ",1
"राम्रो बलियो र टिकाउ छन्",1

"नेपालको धरती उपज हो",1
"धरती उपज हो",2

"म खुशी छु",1
"खुशी",2

"मलाई खेल खेल्न मन पर्छ",1
"खेल खेल्न मन पर्छ",1

"म तिमीलाई माया गर्छु",1
"माया गर्छु",1

"इलेक्ट्रोनिक मिडिया एक प्रासंगिक र एक खुला स्रोत हो",1
"एक प्रासंगिक",1
"एक खुला स्रोत हो",1

"अती सुन्दर प्रयास",1
"अती सुन्दर",1
"सुन्दर प्रयास",1

"malai yo project ramro layo" ,1
"project ramro layo",1
"ramro layo",1

"रक्सी  पिएर बाटोमा सुत्दा नि महिलो नलाग्ने भयो अब रक्सी  पिउन सुरु गरुन्छ",1
"रक्सी  पिएर बाटोमा सुत्दा नि महिलो नलाग्ने भयो",2
"बाटोमा सुत्दा",0
"अब रक्सी  पिउन सुरु गरुन्छ",0
"बाटोमा सुत्दा नि महिलो नलाग्ने",2
"सुरु गरुन्छ",2

सडक मा भन्दा पहिले नेताको दिमाख मा ब्रुमर लगाएर सफा गरिदिए देश चाडै बिकास हुन्थ्यो कि,1
"सडक मा भन्दा पहिले",2
"देश चाडै बिकास हुन्थ्यो",1
"चाडै बिकास",1
"नेताको दिमाख मा ब्रुमर लगाएर सफा गरिदिए",0
"सफा गरिदिए",1

"पहिला खाल्डाखुल्डी टाल्न भन रुटिने तेस्ता बुमरबाट होइन हेलिपम्प बाट सफा गरौला",1
"पहिला खाल्डाखुल्डी टाल्न भन",1
"बुमरबाट होइन हेलिपम्प बाट सफा गरौला",1
"भन रुटिने",1
"सफा गरौला",1

"अनि वाहा भनौला",1
"वाहा भनौला",1

"पहिला सबै तिर राम्रो सँग पिच गरेर त्यसपछी सफा गर्न थाले हुन्छ",1
"पहिला सबै तिर राम्रो सँग पिच गरेर",1
"सफा गर्न थाले हुन्छ",1

"पहिला सिहदरबार सफा गर्नु पर्छ  अनि उपत्यका मात्र हैन देश नै सफा हुन्छ",1
"पहिला सिहदरबार सफा गर्नु पर्छ",1
"उपत्यका मात्र हैन देश नै सफा हुन्छ",1
"देश नै सफा हुन्छ",1

धन्यवाद तपाईहरु सबैलाई सामन उपलव्ध भएको छ,1
"धन्यवाद तपाईहरु सबैलाई",1
"सामन उपलव्ध भएको छ",2
"सबैलाई सामन उपलव्ध भएको छ",2

मनपरि नबोलौँ भन्छु साला यस्तै पोष्ट देखेपछि दिमाग तातिन्छ,1
"मनपरि नबोलौँ भन्छु",1
"यस्तै पोष्ट देखेपछि दिमाग तातिन्छ",0
"साला",0
"दिमाग तातिन्छ",2

"त्यसैले अामा-बुबालाई वृद्ध अाश्रम हाेईन घरमै अाफ्नाे साथमा राख्ने गर",1
"अाफ्नाे साथमा राख्ने गर",2

"जन्म दीनको लाखौ करोडौ सुभकामना",1
"लाखौ करोडौ",2
"सुभकामना",1

"प्यारे सधै हासिखुसी रहनु",1
"प्यारे",1
"सधै हासिखुसी रहनु",1

"अनाधिक्रित पार्किग नियंत्रण सवारी कसैको जन-जीवन उजाडी",1
"अनाधिक्रित पार्किग",0
"कसैको जन-जीवन उजाडी",1

"फुटपाथ मा कपडा बेच्ने लाई जरिवाना तोकिन्छ यहाँ कलिला नानिका कपडा च्यात्ने हरु खुलेयाम घुमी रहेका छन",1
"फुटपाथ मा कपडा बेच्ने लाई जरिवाना तोकिन्छ",1
"यहाँ कलिला नानिका कपडा च्यात्ने हरु खुलेयाम घुमी रहेका छन",0
"खुलेयाम घुमी रहेका छन",2
"जरिवाना तोकिन्छ",1

"त्यो कुनै चटपटे पसल मात्र हैन त्यो कसैको परिवारको खुसी किन्ने सपना पनि हो" ,1
"त्यो कुनै चटपटे पसल मात्र हैन",2
"कसैको परिवारको खुसी किन्ने सपना पनि हो",1
"सपना पनि हो",2

"chaitra 16 saturday",2
"chaitra 16",2
"saturday",2

"बोलेर भन्दा गरेर पो देखाउनु पर्छ र होईन भने येस्तो गर्नुपर्छ उस्तो गर्नुपर्छ यो गरे राम्रो त्यो गरे राम्रो भन्न त जो पनि सक्छ तर ब्यवहार मा लागू हुदैन",1
"बोलेर भन्दा गरेर पो देखाउनु पर्छ",1
"उस्तो गर्नुपर्छ यो गरे राम्रो त्यो गरे राम्रो भन्न त जो पनि सक्छ",1
"भन्न त जो पनि सक्छ",2
"यो गरे राम्रो त्यो गरे राम्रो",2
"गरेर पो देखाउनु पर्छ",1
"ब्यवहार मा लागू हुदैन",0

म पनि त्यही बिचमा छु,2
"त्यही बिचमा",2
"बिचमा छु",2

म पनि यहि छु भेट्ने महानुभाबलाइ उचित पुरस्कारको ब्यबस्था छ,1
"म पनि यहि छु",2
" भेट्ने महानुभाबलाइ उचित पुरस्कारको ब्यबस्था छ",1
"पुरस्कारको ब्यबस्था छ",1

हिजो taxi driver ले गल्ती गर्यो बिरामी लाई सडकमा अलपत्र छोडेर!,1
"हिजो taxi driver ले गल्ती गर्यो",2
"बिरामी लाई सडकमा अलपत्र छोडेर",0
"बिरामी सडकमा अलपत्र",0

"यहाँ दोष नेता को भन्दा हामी जनता को बढी छ",1
"यहाँ दोष नेता को",0
"हामी जनता को बढी छ",2
"बढी छ",2

"हाम्रै सुरक्षा र भलोको निम्ति सपथ खाएकाहरु अनि हामी जनताकै रगत र पसिना बाट उठेको करबाट पालिने हरु ले किन यति विधि हेप्नु पर्या नीति नियम अनि कानुन निमुखाहरु को लागि मात्र हो",1
"हामी जनताकै रगत र पसिना बाट उठेको करबाट पालिने हरु",0
"हाम्रै सुरक्षा र भलोको निम्ति सपथ खाएकाहरु",1
"कानुन निमुखाहरुको लागि मात्र हो ?",1
"निमुखाहरु",2
"सुरक्षा र भलोको निम्ति",1

"शक्तिको आडमा अपराध गर्ने परम्परा को अन्त कहिले निर्दोष आफ्नो लेन मा हिडिरहेका मानिस लाई ठक्कर दिने यी अपराधी प्रहरी हुन  यिनलाई सजाय के  यससम्बन्ध मा सरकारी प्रतिक्रिया के र सजाय कार्यनयन हुन्छ कि हुन्न खबरदारी गरियोस",1
"शक्तिको आडमा अपराध गर्ने परम्परा को अन्त कहिले निर्दोष आफ्नो लेन मा हिडिरहेका मानिस लाई ठक्कर दिने यी अपराधी प्रहरी हुन  यिनलाई सजाय के ?",1
"शक्तिको आडमा अपराध गर्ने परम्परा",1
"आफ्नो लेन मा हिडिरहेका मानिस लाई ठक्कर दिने ?",1
"यी अपराधी प्रहरी हुन",0
"यिनलाई सजाय के ?",2
"यससम्बन्ध मा सरकारी प्रतिक्रिया के ?",2
"सजाय कार्यनयन हुन्छ कि हुन्न",2
"यससम्बन्ध मा सरकारी प्रतिक्रिया के र सजाय कार्यनयन हुन्छ कि हुन्न ?",2
"खबरदारी गरियोस",1

"मुल्य अन्त बजारको भन्दा फरक छैन",1
"अन्त बजारको",2
"बजारको भन्दा फरक छैन",2
"फरक छैन",2

"सामानको चित्त बुझ्दो मूल्य छ",1
"चित्त बुझ्दो मूल्य छ",1
"मूल्य छ",2

"सम्बन्धित लाई कारबाही भयको भिडियो पनि छिट्टै हेर्न पाइयोस",1
"कारबाही भयको भिडियो पनि छिट्टै हेर्न पाइयोस",0
"छिट्टै हेर्न पाइयोस",2
"कारबाही भयको",0

"गाडीको पछाडी बसेकाहरुको झन ठूलो गल्ती छ देखेर नि न देख्या जस्तो गर्याछन",1
"गाडीको पछाडी बसेकाहरु को झन ठूलो गल्ती छ",1
"पछाडी बसेकाहरु",2
"ठूलो गल्ती छ",2
"देख्या जस्तो गर्याछन",0

"dammi xaa bro",1
"dammi xaa",1

"राम्रो महसुस भयो कुनै पनि क्षेत्रहरूमा कुनै पिचिंग छैन राम्रो पैसामा पाए हजुर पनि आफुलाइ एक जोडा किन्नुहोस्",1
"राम्रो महसुस भयो",1
"कुनै पनि क्षेत्रहरूमा कुनै पिचिंग छैन",1
"राम्रो पैसामा पाए हजुर पनि आफुलाइ एक जोडा किन्नुहोस्",1
"आफुलाइ एक जोडा किन्नुहोस्",2
"एक जोडा",2

"उत्कृष्ट शैली धेरै सहज उत्कृष्ट मूल्य म आफ्नो नौसेना ग्रे सूट संग यो लुगा लगाउदा धेरै प्रशंसा प्राप्त गर्दछु",1
"उत्कृष्ट शैली",1
"धेरै सहज",1
"उत्कृष्ट मूल्य",1
"म आफ्नो नौसेना ग्रे सूट संग यो लुगा लगाउदा धेरै प्रशंसा प्राप्त गर्दछु",1
"प्रशंसा प्राप्त गर्दछु",1
"ो लुगा लगाउदा",2

"खुसी लाग्यो छोरा",1
"खुसी लाग्यो",1

"हार्दिक आभार एक युवाको कदमलाइ हज्जारौं युवाहरुले साथ दिदा",1
"हार्दिक आभार र धन्यवाद",1
"युवाहरुले साथ दिदा",1
"एक युवाको कदमलाइ हज्जारौं युवाहरुले साथ दिदा",1

"धन्यवाद बाजुरेलिमन र धन्यवाद साथ दिने सबैलाइ साथै सहयोग सुझावको लागि",1
"धन्यवाद बाजुरेलिमन",1
"साथ दिने सबैलाइ साथै सहयोग सुझावको लागि",1
"सुझावको लागि",2


"Wow yo honi line thank you mahanayak rajesh hamal jiu congratulations kp brother",1
"Wow yo honi line",1
"thank you mahanayak rajesh hamal jiu",1
"congratulations kp brother",1
"thank you mahanayak rajesh hamal jiu congratulations kp brother",1

"अति उत्तम कार्य  के पि भाइ",1
"अति उत्तम कार्य",1
"के पि भाइ",2

"देश आफै बन्छ सुरुवात आफुबाट सुरु गरौ",1
"देश आफै बन्छ",1
"सुरुवात आफुबाट सुरु गरौ",1
"सुरु गरौ",2

"बिदेश मा फोहोर पनि भेटीनु पर्यो नि खैरे हरु ले Trash challenge हान्न  भाग्यमानी हुन आफ्नो देश मा गर्न न पाएको काम नेपाल मा आएर गर्न पाएको छन",1
"बिदेश मा फोहोर पनि भेटीनु पर्यो नि",2
"फोहोर पनि भेटीनु पर्यो नि",1
"Trash challenge हान्न",2
"भाग्यमानी हुन",1
"आफ्नो देश मा गर्न न पाएको काम नेपाल मा आएर गर्न पाएको छन",1
"नेपाल मा आएर गर्न पाएको छन",2
"गर्न पाएको छन",2

"Photo post गरेर भाइरल बनाइदिने नेपाली मिडिया मन पर्यो होला बिदेशी साईली लाई",1
"Photo post गरेर भाइरल बनाइदिने नेपाली मिडिया",1
"मन पर्यो होला बिदेशी साईली लाई",1
"बिदेशी साईली",2
"नेपाली मिडिया मन पर्यो",2

"बृद्दा भत्ता दिएर आश्रम पठाईदिने ब्यबस्था गरौ",1
"बृद्दा भत्ता",1
"आश्रम पठाईदिने ब्यबस्था गरौ",1
"ब्यबस्था गरौ",1

"ठिक गर्यो",1

बिहे गरेपछि बुढीलाई यति माया गर्छु कि त्यो देखेर ससुराले पनि ज्वाई कान्छि छोरी नि हजुर नै लौजानुस भनोस् ,1
"बिहे गरेपछि बुढीलाई यति माया गर्छु",1
"त्यो देखेर ससुराले पनि ज्वाई कान्छि छोरी नि हजुर नै लौजानुस भनोस्",1
"छोरी नि हजुर नै लौजानुस भनोस्",2
"कान्छि छोरी",2

रुटिने होस गर तेरो पोस्टमा पनि कमेन्ट तिनिहरु कै troll गर्दै आउने गर्छ पर्लास फन्दामा त पनि अनि आफै बन्द होलास,1
"रुटिने होस गर",0
"ुटिने होस गर तेरो पोस्टमा पनि कमेन्ट तिनिहरु कै troll गर्दै आउने गर्छ",0
"तेरो पोस्टमा पनि कमेन्ट तिनिहरु कै troll गर्दै आउने गर्छ",0
"पर्लास फन्दामा",0
"त पनि अनि आफै बन्द होलास",0
"troll गर्दै आउने गर्छ",0
"roll गर्दै आउने गर्छ पर्लास फन्दामा त पनि अनि आफै बन्द होलास",0

नराम्रो  हर्कत गर्ने सबैलाइ समात्नै पर्छ,1
"नराम्रो  हर्कत गर्ने",0
"सबैलाइ समात्नै पर्छ",0

"देश बिगार्नेलाई खुल्ला छोड्ने तर फोटा बिगार्नेलाई सजाए रे",1
"देश बिगार्नेलाई खुल्ला छोड्ने ?",1
"तर फोटा बिगार्नेलाई सजाए रे",2
"बिगार्नेलाई सजाए",1
"खुल्ला छोड्ने",2

"खुशीको खबर",1
"खबर",1

"टाउकोलाई समाते पो केही हुन्थ्यो  हाँगाबिगाहरु समातेर आफ्नो काम देखाउने काम बन्द गर्दा नै राम्रो",1
"टाउकोलाई समाते पो केही हुन्थ्यो",0
"समाते पो केही हुन्थ्यो",2
"हाँगाबिगाहरु समातेर आफ्नो काम देखाउने",2
"काम बन्द गर्दा नै राम्रो",1

"सलाम साह साब",1
"सलाम",1
"साह साब",2

"एस्तो राम्रो काम हुदै जाओस",1
"एस्तो राम्रो काम",1
"काम हुदै जाओस",2
"राम्रो काम हुदै जाओस",1

"बल्ल राजनीति पार्टी हरुको आँखा खुल्दैछ",1
"आँखा खुल्दैछ",2
"पार्टी हरुको आँखा खुल्दैछ",1
"राजनीति पार्टी हरुको",2

"म भोलि कलेजमा खाजा खाने पैसा दिन्छु",1
"म भोलि",2
"खाजा खाने पैसा दिन्छु",2
"पैसा दिन्छु",2

"आफुले सकेको सहयोग गरौ",1
"सकेको सहयोग गरौ",1   
"सहयोग गरौ",1

"राष्ट्रपति र प्रधानमन्त्रीको फोटो बिगारेर पोष्ट गर्ने पक्राउ",1
"फोटो बिगारेर पोष्ट गर्ने पक्राउ",1
"राष्ट्रपति र प्रधानमन्त्रीको फोटो",2
"राष्ट्रपति",2
"प्रधानमन्त्रीको फोटो बिगारेर पोष्ट गर्ने पक्राउ",1

"वेईज्जत नगरेको भए हुने हो",1
"नगरेको भए हुने हो",2
"वेईज्जत",0

"फोटो झाक़ासको छ",1
"झाक़ासको छ",1

"नराम्रो काम गर्न अगाडी नसरौ",1
"नराम्रो काम",0
"अगाडी नसरौ",2
"काम गर्न अगाडी नसरौ",0

"balla yeuta gatilo kam garexaa",1
"gatilo kam garexaa",1
"yeuta gatilo kam",1

"badhai xa",1

Wah Daju Ramro kaam,1
"Wah Daju",1
"Ramro kaam",1

"इनि दाजु चाइ साचै निश्च्ल मनका रहिछ्न",1
"इनि दाजु",2
"साचै निश्च्ल मनका रहिछ्न",1
"मनका रहिछ्न",1

"dheari badhai tatha suvakamna xa hai",1
"dheari badhai tatha suvakamna",1
"suvakamna xa hai",1

"Kun swarga ki apsara hau timi ?",1
"swarga ki apsara",1
"hau timi ?",2

"Ho ta hai",2
"Ho ta",2

"सुसासनयुक्त अनि मर्यादित बनाउनु",1
"सुसासनयुक्त",1
"मर्यादित",1
"मर्यादित बनाउनु",1

"गरिमामय र निस्पक्ष",1
"गरिमामय",1
"निस्पक्ष",1

"स्पष्ट निती निर्माण गर्नु पर्दछ",1

"योग्यता, क्षमता, इमानदार, सक्षम, निडर, बरिष्ट",1
"योग्यता",2
"इमानदार",1
"सक्षम",1
"निडर",1
"बरिष्ट",1
"इमानदार, सक्षम",1
"निडर, बरिष्ट",1

"सेनालाई जिम्मेवारी तथा साथ दिनु एकदमै सराहनीय कुरा हो",1
"सेनालाई जिम्मेवारी तथा साथ दिनु",1
"एकदमै सराहनीय कुरा हो",1
"सराहनीय कुरा",1
"जिम्मेवारी तथा साथ",1

"राम्रो कुरा हो सेनालाई यो मात्र होइन राष्ट्रका हरेक अायोजनाका काम दिदा उत्तम हुन्छ",1
"राम्रो कुरा हो",1
"सेनालाई यो मात्र होइन राष्ट्रका हरेक अायोजनाका काम दिदा उत्तम हुन्छ",1
"उत्तम हुन्छ",1
"अायोजनाका काम दिदा उत्तम हुन्छ",1
"हरेक अायोजनाका काम",2

"समाज सेवी हातहरुलाई लाखौ लाख सलाम छ",1
"समाज सेवी",1
"लाखौ लाख सलाम छ",1
"समाज सेवी हातहरु",1

"घाईते सम्पुर्णमा शिघ्र स्वास्थ लाभ को कामना",1
"शिघ्र स्वास्थ लाभ",2
"लाभ को कामना",1
"घाईते",2

"सार्है दुख लाग्यो मृतकहरु को आत्माले चिर शान्ति पावोस् साथै घाइते भएकाहरुका लागि स्वास्थ्य लाभ कामना तथा सोकाकुल परिवार प्रति समवेदना प्रकट गर्दछौं",1
"सार्है दुख लाग्यो",0
"मृतकहरु को आत्माले चिर शान्ति पावोस्",1
"सोकाकुल परिवार प्रति समवेदना प्रकट गर्दछौं",1
"मवेदना प्रकट गर्दछौं",1
"मृतकहरु को आत्माले चिर शान्ति पावोस्",1

"हार्दिक श्रद्धाञ्जली",1
"श्रद्धाञ्जली",1
"हार्दिक",2

"मान्छे सानो सानो कुरामा खुशी हुन हाँस्न जान्नु पर्छ रे",1
"सानो सानो कुरामा",2
"खुशी हुन हाँस्न जान्नु पर्छ रे",1
"हाँस्न जान्नु",2
"सानो सानो",2

"नराम्रो कमेन्ट गर्न हुन्न पाप लाग्छ",1
"पाप लाग्छ",0
"नराम्रो कमेन्ट गर्न हुन्न",1

"फोटो हाल्दा अलि इडिट गरेर हाल",2
"अलि इडिट गरेर हाल",2

"आफ्ना प्रोडक्टहरु धेरैभन्दा धेरै बिक्रि होस् भन्ने चाहन्छन् जुन आफैमा नराम्रो कुरा हैन",1
"आफ्ना प्रोडक्टहरु धेरैभन्दा धेरै बिक्रि होस्",1
"धेरैभन्दा धेरै बिक्रि होस्",1
"धेरै बिक्रि होस् भन्ने चाहन्छन्",1
"जुन आफैमा नराम्रो कुरा हैन",2
"नराम्रो कुरा",0

"हेरेको थिए तर बिस्वस नलागेर तपाईंको पोस्ट हेरेको हो रहेछ",1
"हेरेको थिए",2
"बिस्वस नलागेर तपाईंको पोस्ट हेरेको",2
"बिस्वस नलागेर",0
"तपाईंको पोस्ट हेरेको",2
"हो रहेछ",2

"देशका सबै युवा उठौ लागौ देश को मन सफाइमा",1
"देशका सबै युवा उठौ",1
"देश को मन सफाइमा",1
"युवा उठौ लागौ देश को मन सफाइमा",1
"मन सफाइमा",1

"Nepal bandai xa",1
"Nepal",2

"Happy birthday legend",1
"legend",1
"Happy birthday",1

"स्केच त राम्रै हो कपालमा कसले इरेजर लगाइदिएछ पछि",1
"स्केच त राम्रै हो",2
"कपालमा कसले इरेजर लगाइदिएछ पछि",2
"इरेजर लगाइदिएछ पछि",1

"जन्मदिनको सुभकामना आलु अर्जुन",1
"जन्मदिनको सुभकामना आलु",0
"जन्मदिनको सुभकामना",1

"timi sarai ramro",1
"sarai ramro",1

"pOkHarA uNiVeRSitY iS LoVE",1
"pOkHarA uNiVeRSitY",2
"iS LoVE",1

"खसी बिना दसै कसरी आउछ् ?",2
"दसै कसरी आउछ् ?",2

"मेकअप त भ्रम मात्रै हो",1
"भ्रम मात्रै हो",2

"असली मायामा कचेरा पुछ्दै भिडियोकल गरिन्छ",2
"भिडियोकल गरिन्छ",2
"कचेरा पुछ्दै",2

"नेपाललाई लिएर जज लाई गाली गर्नु मुर्खता हो",1
"जज लाई गाली गर्नु मुर्खता हो",2
"मुर्खता हो",2
"नेपाललाई लिएर जज लाई गाली गर्नु",0

"राम्रो-नराम्रो भन्दा पनि हुने तथ्य यहि नै हो",1
"राम्रो-नराम्रो",0
"राम्रो-नराम्रो भन्दा पनि हुने",0
"तथ्य यहि नै हो",2

"आफुले आफै लाई राम्रो भन्नी ठान्नु पनि राम्रै हो",1
"आफुले आफै लाई राम्रो भन्नी ठान्नु",1
"राम्रो भन्नी ठान्नु",1
"भन्नी ठान्नु",2

"छोरीको जिन्दगी निकै सस्तो भएछ यहाँ",0
"निकै सस्तो भएछ यहाँ",2
"छोरीको जिन्दगी",2
"छोरीको जिन्दगी निकै सस्तो भएछ",0

"बधाई छ नेपाल सरकार",1
"नेपाल सरकार",2
"बधाई छ",1

जबसम्म तिम्रो देशमा मृत्युदण्डको सजाय हुदैन तवसम्म यस्ता घटनालाई सामान्य लिइयोस्,1
"जबसम्म तिम्रो देशमा मृत्युदण्डको सजाय हुदैन",0
"मृत्युदण्डको सजाय हुदैन",1
"सजाय हुदैन",1
"यस्ता घटनालाई सामान्य लिइयोस्",2
"सामान्य लिइयोस्",2
"घटनालाई सामान्य लिइयोस्",2

" एउटा कुरा जिन्दगीले मज्जाले सिकाईदियो आफु आफै मा खुसी रहन अनि कोही बाट पनि आश नराख्न",1
"एउटा कुरा जिन्दगीले मज्जाले सिकाईदियो",2
" आफु आफै मा खुसी रहन",1
"कोही बाट पनि आश नराख्न",1
"जिन्दगीले मज्जाले सिकाईदियो",2

"अब जिन्दगीमा यति अगाडि बढ्छु कि Ex ले नि भनोस पर्ख पर्ख मायालु म पनि त आउला",1
"अब जिन्दगीमा यति अगाडि बढ्छु ",1
"Ex ले नि भनोस पर्ख पर्ख मायालु म पनि त आउला",1
"म पनि त आउला",2
"अगाडि बढ्छु",1

"Broomer ले गर्न न सकेको सफा आधी माराथन दगुरेर हुन्छ हैन त ?",1
"माराथन दगुरेर हुन्छ हैन त ?",2
"Broomer ले गर्न न सकेको सफा",2
"आधी माराथन दगुरेर हुन्छ",2

"Huge congratulation",
"Huge",1

"Humanity over Nationality",1

"ल बधाइ छ",1

"Congratulation Nepal for winning",1
"Congratulation Nepal",1
"for winning",1

"I hope sompal will be sold this time, best of luck all",1
"I hope sompal will be sold this time",2
"best of luck all",1
"will be sold this time",2

"ब्यबसायको सुरक्षा छैन",0
"सुरक्षा छैन",0
"ब्यबसायको सुरक्षा",2

"अष्टेलिया र युरोप जाने पैसाको आधामात्रै लगानि गरेर यहाँ सानोतिनो ब्यबसाय गर्ने हो भने २/४ जनालाई आफैले रोजगारी दिन सकिन्छ",1
"अष्टेलिया र युरोप जाने पैसाको आधामात्रै लगानि गरेर यहाँ सानोतिनो ब्यबसाय गर्ने हो",1
"२/४ जनालाई आफैले रोजगारी दिन सकिन्छ",1
"आफैले रोजगारी दिन सकिन्छ",1
"यहाँ सानोतिनो ब्यबसाय गर्ने हो",2

"Wow cool post",1
"cool post",1

"Good job brother",1
"Good job",1

"you have my Respect",1
"my Respect",1

"Brave guy",1

"टमाटर मँहगो भयो भनेर फेसबूकमा गफ चुट्नुको साटो।बाझो बारीमा कोदालो घुमाएको भए आज यो दिन आउथेन कि" ,1
"टमाटर मँहगो भयो भनेर फेसबूकमा गफ चुट्नुको साटो",1
"बारीमा कोदालो घुमाएको भए आज यो दिन आउथेन कि",1
"आज यो दिन आउथेन कि",2
"टमाटर मँहगो भयो भनेर फेसबूकमा गफ",1

"Yo auta ramro example ho, sab le milera pressure dine ho bhane kae hune raicha bhanera.",1
"Yo auta ramro example ho",1
"sab le milera pressure dine ho bhane kae hune raicha bhanera.",1
"pressure dine ho bhane",1

"This is the power of common man",1
"power of common man",1

"आन्दोलन गर्ने जनतालाई भन्नुपर्ने हो Thanks त नत्र सरकारले यो असारमा सम्म पनि बनाउने थिएन",1
"आन्दोलन गर्ने जनतालाई भन्नुपर्ने हो",2
"रकारले यो असारमा सम्म पनि बनाउने थिएन",1

"धन्यवाद सब्दको अपहेलना नगर्दा हुन्छ",1
"अपहेलना नगर्दा हुन्छ",1
"नगर्दा हुन्छ",1

"सङ्गत गुनाको फल भन्दैमा उखु को छेउ मा रोपेको करेला गुलियो हुन्छ भन्न त भएन नि" ,2
"सङ्गत गुनाको फल",1
"करेला गुलियो हुन्छ भन्न त भएन नि",1
"गुलियो हुन्छ",2

"लोकतन्त्रको विकासमा फाइदा भन्या यही हो । आन्दोलन सत्कर्मको लागी गरौ",1
"लोकतन्त्रको विकासमा फाइदा भन्या यही हो ।",2
